Year,CPIH ALL ITEMS,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,BREAD & CEREALS,MEAT,FISH,"MILK, CHEESE & EGGS",OILS & FATS,FRUIT,VEGETABLES INCLUDING POTATOES AND TUBERS,"SUGAR, JAM, SYRUPS, CHOCOLATE AND CONFECTIONERY",FOOD PRODUCTS (NEC),NON-ALCOHOLIC BEVERAGES,"COFFEE, TEA & COCOA","MINERAL WATERS, SOFT DRINKS AND JUICES",ALCOHOLIC BEVERAGES AND TOBACCO,ALCOHOLIC BEVERAGES,SPIRITS,WINE,BEER,TOBACCO,CLOTHING AND FOOTWEAR,CLOTHING,GARMENTS,OTHER CLOTHING & CLOTHING ACCESSORIES,"CLEANING, REPAIR AND HIRE OF CLOTHING",FOOTWEAR INCLUDING REPAIRS,"HOUSING, WATER, ELELCTRICITY, GAS AND OTHER FUELS",ACTUAL RENTALS FOR HOUSING,OOH,REGULAR MAINTENANCE AND REPAIR OF THE DWELLING,MATERIALS FOR MAINTENANCE AND REPAIR,SERVICES FOR MAINTENANCE AND REPAIR,WATER SUPPLY AND MISC. SERVICES FOR THE DWELLING,WATER SUPPLY,SEWERAGE COLLECTION,"ELECTRICITY, GAS AND OTHER FUELS",ELECTRICITY,GAS,LIQUID FUELS,SOLID FUELS,COUNCIL TAX AND OTHER RATES,"FURNITURE, HOUSEHOLD EQUIPMENT AND MAINTENANCE","FURNITURE, FURNISHINGS & CARPETS",FURNITURE & FURNISHINGS,CARPETS & OTHER FLOOR COVERINGS,HOUSEHOLD TEXTILES,"HOUSEHOLD APPLIANCES, FITTING AND REPAIRS",MAJOR APPLIANCES AND SMALL ELECTRIC GOODS,"GLASSWARE, TABLEWARE & HOUSEHOLD UTENSILS",TOOLS AND EQUIPMENT FOR HOUSE AND GARDEN,GOODS AND SERVICES FOR ROUTINE MAINTENANCE,NON-DURABLE HOUSEHOLD GOODS,DOMESTIC SERVICES AND HOUSEHOLD SERVICES,HEALTH,"MEDICAL PRODUCTS, APPLIANCES AND EQUIPMENT",PHARMACEUTICAL PRODUCTS,TRANSPORT,PURCHASE OF VEHICLES,MOTOR CYCLES AND BICYCLES,SECOND-HAND CARS,OPERATION OF PERSONAL TRANSPORT EQUIPMENT,SPARE PARTS & ACCESSORIES,FUELS & LUBRICANTS,MAINTENANCE & REPAIRS,OTHER SERVICES IN RESPECT OF PERSONAL TRANSPORT EQ,TRANSPORT SERVICES,PASSENGER TRANSPORT BY RAILWAY,PASSENGER TRANSPORT BY ROAD,COMMUNICATION,POSTAL SERVICES,TELEPHONE AND TELEFAX EQUIPMENT AND SERVICES,RECREATION & CULTURE,AUDIO-VISUAL EQUIPMENT AND RELATED PRODUCTS,RECEPTION AND REPRODUCTION OF SOUND AND PICTURES,PHOTOGRAPHIC AND CINE. EQU. & OPTICAL INSTRUMENTS,RECORDING MEDIA,"OTHER RECREATIONAL ITEMS, GARDENS & PETS",GAMES TOYS AND HOBBIES,GARDEN PLANTS AND FLOWERS,"PETS, RELATED PRODUCTS AND SERVICES",RECREATIONAL AND CULTURAL SERVICES,RECREATIONAL AND SPORTING SERVICES,CULTURAL SERVICES,"BOOKS, NEWSPAPERS AND STATIONERY",BOOKS,NEWSPAPERS AND PERIODICALS,"MISC. PRINTED MATTER, STATIONERY, DRAWING MATERIALS",EDUCATION,RESTAURANTS AND HOTELS,CATERING SERVICES,RESTAURANTS & CAFES,CANTEENS,MISCELLANEOUS GOODS AND SERVICES,PERSONAL CARE,HAIRDRESSING & PERSONAL GROOMING ESTABLISHMENTS,APPLIANCES & PRODUCTS FOR PERSONAL CARE,PERSONAL EFFECTS (NEC),JEWELLERY CLOCKS AND WATCHES,OTHER PERSONAL EFFECTS,INSURANCE,HOUSE CONTENTS INSURANCE,TRANSPORT INSURANCE,FINANCIAL SERVICES (NEC),OTHER FINANCIAL SERVICES (NEC),OTHER SERVICES (NEC)
2000,73.40608333333334,65.88041666666668,65.22449999999999,67.974,68.15783333333333,61.760333333333335,68.393,64.578,64.59633333333333,64.69566666666667,57.35458333333333,79.56283333333333,72.32775,71.453,73.32758333333334,56.24666666666667,81.66541666666667,75.56525,76.55016666666667,101.39641666666667,43.41141666666667,162.043,165.37058333333331,173.22633333333332,113.0055,63.180749999999996,141.72583333333333,69.00016666666666,67.71625,80.19691666666667,68.00916666666667,72.016,63.35458333333333,53.4335,54.067499999999995,52.6975,37.67325,42.7655,30.733583333333332,52.53225,41.851166666666664,57.09475,83.56224999999999,80.10425,81.58800000000001,77.39483333333334,114.09558333333332,102.97575,107.87875000000001,92.09733333333332,84.30866666666667,66.59741666666666,82.47141666666667,56.94649999999999,64.8325,88.19683333333334,88.86183333333334,66.81658333333333,104.491,82.96375,146.8975,62.337583333333335,79.55483333333333,71.479,51.16558333333333,61.04816666666667,43.119416666666666,53.30975,56.5095,94.77358333333332,39.467333333333336,100.20808333333333,98.25508333333333,388.4655,437.04625000000004,1391.6570000000002,145.89033333333333,115.35525,149.601,93.61983333333335,65.41975000000001,58.37916666666666,57.21575000000001,59.31825,65.18900000000001,71.72158333333333,53.29024999999999,77.88208333333334,30.530833333333334,62.94416666666667,63.1235,63.037,63.56216666666666,71.38375,85.44241666666666,62.020833333333336,96.25124999999998,75.56691666666667,65.32275,104.18758333333334,49.39783333333333,84.24041666666666,43.76858333333333,130.2,130.2,51.906416666666665
2001,74.55591666666668,68.37433333333333,67.94766666666668,68.66558333333333,71.083,62.915083333333335,70.57516666666668,63.312916666666666,70.21883333333334,70.73166666666667,58.246833333333335,80.46883333333334,72.5235,71.40474999999999,73.59075,58.0935,81.98125,75.86325000000001,77.17999999999999,101.31891666666667,45.771416666666674,150.05033333333333,152.25183333333334,158.46633333333332,105.93533333333333,65.28041666666667,136.21475,70.80991666666667,69.97408333333333,82.09308333333333,70.11008333333334,72.00925,67.28525,53.77100000000001,54.692,52.705000000000005,37.908,42.37791666666667,31.642666666666667,49.31758333333334,43.8325,60.64275,83.49233333333333,80.60108333333334,81.8245,78.67975,112.03783333333332,100.01266666666668,103.96,90.8895,82.86608333333334,68.31666666666666,81.85433333333333,60.898833333333336,67.32466666666666,90.09808333333332,89.69716666666666,66.76508333333334,100.85266666666666,83.29058333333333,144.47074999999998,62.12516666666667,78.44808333333333,67.82283333333334,54.586999999999996,63.37866666666667,45.65975,55.5565,59.137499999999996,88.67675000000001,39.984500000000004,92.9045,99.60358333333333,363.4819166666667,402.81008333333335,1322.2788333333333,144.8885,113.75066666666667,146.15833333333333,92.96233333333333,66.35549999999999,59.724583333333335,59.80416666666667,59.75866666666667,66.70858333333332,73.27149999999999,55.48083333333333,78.36991666666667,32.365,65.34233333333333,65.21791666666667,65.07958333333333,66.43275,73.5005,86.50966666666666,64.79816666666666,96.40808333333332,74.7565,64.94108333333334,101.55058333333334,53.38233333333333,87.50791666666667,47.74191666666667,116.49849999999999,116.49849999999999,56.74266666666667
2002,75.67116666666666,68.91775,68.56791666666668,69.26833333333333,71.34791666666666,64.70908333333334,71.34483333333334,64.18341666666667,71.02266666666667,70.20391666666667,59.45758333333333,81.29058333333333,72.31216666666667,71.94041666666666,73.15333333333334,59.14233333333333,82.09033333333333,76.70158333333333,77.30533333333334,100.61333333333333,47.14341666666667,139.205,140.45841666666666,145.36416666666665,102.66949999999999,67.20258333333334,131.332,72.51325,71.84241666666667,83.52016666666667,71.93808333333334,71.60466666666666,71.80175,55.03900000000001,55.585499999999996,54.3285,38.691250000000004,42.583416666666665,33.61658333333333,44.519083333333334,46.097833333333334,65.193,83.59775,80.93333333333334,82.60525,77.58258333333333,108.87758333333333,98.52625,101.66391666666665,90.58341666666666,81.35891666666667,70.45166666666667,81.69291666666666,64.63391666666666,69.84666666666666,90.53066666666666,88.88983333333333,67.16908333333333,99.9345,83.17633333333333,141.41400000000002,62.64641666666666,79.30425,65.68466666666667,57.58175,66.70633333333333,46.72266666666667,56.974250000000005,61.33841666666667,89.38925,40.19116666666667,93.678,101.32033333333334,339.91966666666667,369.85875000000004,1268.0713333333333,143.05275,110.51166666666667,138.56391666666667,91.67375,67.84,63.484833333333334,61.346833333333336,64.46441666666666,68.07375,75.074,56.45458333333334,80.00375,34.20441666666667,67.58991666666667,67.45066666666666,67.194,70.04933333333334,75.29458333333334,86.18091666666668,68.12783333333333,94.1275,74.15641666666666,64.80550000000001,98.93141666666666,56.79241666666667,93.57358333333333,49.03658333333333,97.935,97.935,60.849583333333335
2003,76.71583333333334,69.80433333333333,69.55391666666667,70.02833333333334,71.44533333333334,63.834916666666665,72.81891666666667,64.12641666666667,71.91016666666667,71.30525,61.71541666666667,81.32975,72.32108333333333,70.18891666666667,73.42625,60.262499999999996,81.50841666666666,76.51683333333334,77.431,98.10416666666667,48.809416666666664,133.88491666666667,134.73425,138.92024999999998,101.87833333333333,69.57158333333334,128.71891666666667,73.68758333333334,72.89183333333334,83.72433333333333,73.72741666666667,71.77033333333334,75.882,57.15875,57.368,56.706500000000005,39.42783333333333,43.014833333333335,34.25516666666667,49.34975,47.04191666666667,72.328,83.20475,81.33408333333334,82.82558333333333,78.49008333333333,106.68008333333334,95.65066666666667,97.76433333333334,89.599,77.14333333333333,71.841,79.66791666666667,68.22091666666667,72.21741666666667,90.65383333333334,88.66766666666666,69.30525,99.38074999999999,81.9615,137.08533333333332,65.77425,80.38016666666667,68.04566666666666,61.62633333333333,71.01283333333333,48.638,57.54258333333333,64.41133333333333,89.82658333333335,41.338,94.02691666666668,100.59175,307.7298333333333,326.18291666666664,1198.0809166666666,139.26091666666665,106.40841666666667,128.13791666666665,90.82983333333334,69.42416666666666,65.65458333333333,63.34116666666667,66.70633333333333,70.20591666666667,76.98658333333333,59.79933333333333,80.50766666666667,36.77466666666667,69.71641666666666,69.52499999999999,69.15166666666666,73.27983333333333,76.93124999999999,86.30766666666666,71.54116666666667,92.42375,75.3785,66.51091666666666,98.0455,60.626666666666665,99.95583333333333,51.73708333333334,96.235,96.235,63.92658333333333
2004,77.7795,70.35133333333333,70.23575,71.28266666666667,72.63666666666667,62.754333333333335,74.425,65.4335,69.883,70.74641666666666,63.28733333333333,80.661,71.69708333333334,67.99558333333333,73.0295,61.45791666666667,81.16083333333334,76.22891666666666,78.20733333333334,95.19033333333334,50.56591666666667,127.45291666666667,127.74291666666666,131.27583333333334,99.6305,72.02383333333333,126.04450000000001,75.221,74.49216666666666,84.22366666666666,75.38475,71.79341666666667,80.21691666666668,60.181749999999994,60.35150000000001,59.744,42.17883333333334,45.584,36.68966666666667,58.247166666666665,49.50875,77.69625,83.15316666666666,81.93391666666666,82.99466666666667,80.197,106.40783333333333,93.94041666666668,95.24075,88.74874999999999,75.72691666666667,72.52266666666667,76.47733333333333,72.03958333333334,73.58716666666668,90.15991666666667,87.60558333333334,71.63991666666666,99.55416666666667,83.83975,132.15191666666666,69.38558333333333,81.48858333333334,71.84908333333333,65.81341666666667,73.75425,50.50541666666667,59.94283333333333,67.31099999999999,89.23016666666666,42.646,93.105,98.96708333333333,275.6960833333333,289.71,1093.38875,131.11525,103.89625000000001,122.33583333333333,90.812,70.18175000000001,67.24425000000001,65.15741666666666,68.22191666666667,71.67191666666666,78.38566666666667,62.24966666666666,80.48183333333334,38.525083333333335,71.74725,71.40441666666668,71.00466666666667,75.45433333333334,79.70875,85.99566666666668,74.914,90.22408333333334,75.29875,67.32291666666667,94.66308333333332,62.40266666666667,102.45925,52.29416666666666,100.34275000000001,100.34291666666667,68.9965
2005,79.40425,71.41741666666667,71.4095,72.23533333333333,73.11475,63.7645,76.449,63.997166666666665,70.73708333333333,72.90058333333333,65.05483333333333,80.22175,71.70616666666666,68.0745,73.0085,62.84966666666667,80.5025,75.62241666666667,78.81416666666667,91.70533333333333,52.778166666666664,120.87283333333333,121.03325000000001,123.83125,99.57183333333334,75.49258333333334,120.18891666666667,77.68016666666666,77.12091666666667,85.65591666666667,76.861,71.786,84.25466666666667,66.19025,67.38075,64.7175,47.79816666666667,50.43258333333333,41.94225,79.09983333333334,54.53591666666667,81.216,82.93475,82.84833333333334,83.99775,80.79575,102.14583333333333,92.37049999999999,92.84033333333333,85.27816666666666,73.954,73.99275,76.19966666666666,75.17691666666667,75.72558333333333,90.10933333333332,87.20241666666668,74.69708333333334,98.50075,81.67941666666667,124.63158333333332,74.26558333333334,83.00824999999999,78.139,70.2505,77.23483333333333,53.94125,62.240583333333326,71.1005,87.14458333333334,44.278333333333336,90.49258333333334,97.81891666666667,244.05466666666666,253.1635,887.7668333333332,125.66775,101.98191666666666,118.82916666666667,89.65866666666666,72.17875,69.73016666666666,68.09675,70.53916666666667,72.19075,79.09025,63.21141666666667,80.08116666666668,40.40533333333333,74.14375,73.55383333333333,73.11591666666666,77.96008333333333,83.17608333333334,86.47675,78.40933333333334,89.3695,74.69066666666667,66.59266666666666,94.45025,62.325916666666664,100.22958333333334,51.39125000000001,107.86033333333334,107.86033333333334,74.58383333333333
2006,81.35633333333334,73.14766666666667,73.012,73.59575,74.5285,68.80175,77.492,67.24141666666667,71.32466666666666,74.49825,67.48075,79.61816666666667,74.44525,71.47625000000001,75.55791666666666,64.55558333333333,80.70283333333333,75.24341666666666,79.72158333333333,91.14291666666666,55.127,116.00691666666667,116.18958333333335,118.39133333333332,99.57225,78.655,115.1565,81.337,79.50925,87.96791666666667,78.19,71.70541666666666,88.02525000000001,70.7125,72.42375,68.70824999999999,59.69266666666667,61.362500000000004,55.05008333333333,89.86533333333334,58.68983333333333,84.90191666666666,82.52216666666666,83.2315,84.5005,81.30066666666666,97.36441666666667,88.65283333333333,88.28533333333333,83.89716666666666,74.61149999999999,76.92708333333333,78.766,78.60383333333333,77.7965,89.65933333333334,87.32866666666666,76.81866666666666,98.07591666666667,80.75500000000001,120.96316666666667,78.32475,85.22108333333334,82.43366666666667,74.57908333333333,80.55733333333333,55.180749999999996,64.85233333333333,73.02333333333333,87.34825000000001,47.953,90.31216666666667,96.66683333333333,218.51316666666665,219.21741666666665,675.8814166666667,122.19058333333334,99.84491666666666,113.92333333333333,89.27858333333334,74.55716666666666,72.90808333333334,71.52191666666667,73.617,74.72016666666667,81.0835,67.20941666666667,80.20333333333333,43.360083333333336,76.52891666666666,75.76158333333333,75.32875,80.14866666666667,86.27366666666667,88.2205,81.19566666666667,90.66716666666667,76.40341666666667,69.438,93.82650000000001,63.13641666666667,100.85716666666667,51.397416666666665,112.65633333333334,112.65641666666666,79.16833333333334
2007,83.30499999999999,76.43366666666667,76.324,76.73075,75.98991666666667,74.57391666666668,82.81116666666667,71.6215,72.29825,81.09875,69.85558333333334,80.76208333333334,77.52283333333334,74.10674999999999,78.66575,66.83041666666666,81.56608333333334,76.22766666666666,80.49908333333333,91.52125000000001,58.05625,111.6675,111.50108333333333,113.1915,98.98174999999999,81.50666666666667,113.44658333333332,84.09933333333333,82.02783333333333,90.13966666666666,81.55383333333333,74.5955,92.11475,75.1555,76.816,73.17525,64.30566666666667,66.2915,59.2545,89.52600000000001,62.893499999999996,88.45474999999999,83.938,85.01216666666666,86.57,81.37675,94.77291666666667,89.29191666666667,88.76183333333334,85.06008333333334,75.47183333333334,79.67125,80.43341666666667,82.55791666666667,80.4315,90.64033333333333,88.36833333333334,79.00108333333334,98.0,81.093,117.75475,81.259,85.58766666666666,84.8475,78.3165,84.60991666666666,58.118,68.09091666666667,76.43316666666666,84.55749999999999,52.98475,86.75966666666666,95.83558333333333,195.885,192.88558333333333,516.557,121.28625,99.03750000000001,110.96158333333334,90.19833333333334,76.66441666666667,75.90566666666666,74.81191666666668,76.46633333333334,76.28425,83.30483333333333,69.61725,79.13416666666667,49.313916666666664,79.21491666666667,78.45625,77.89841666666668,83.97475,88.07725,90.40466666666667,84.20125,92.56049999999999,78.60141666666667,71.87341666666667,95.53383333333333,65.36533333333334,103.48183333333333,53.01841666666667,111.24258333333334,111.24258333333334,82.10091666666666
2008,86.22258333333333,83.4455,84.01541666666667,85.59991666666667,83.98458333333333,78.29483333333333,95.33125000000001,83.92441666666666,77.13,88.10000000000001,74.88791666666667,85.31541666666666,79.46724999999999,78.08341666666666,80.05425000000001,69.47225,84.19666666666667,80.34458333333333,83.083,91.87183333333333,60.611916666666666,104.30058333333334,103.68566666666668,104.69225,97.30325,84.17858333333334,109.41341666666666,88.07033333333334,84.759,92.56625000000001,85.77458333333334,78.88225,96.18149999999999,80.02825,81.256,78.43575,76.35625,76.61366666666667,70.76758333333333,133.70583333333335,74.81349999999999,91.753,85.77966666666667,87.91183333333333,89.03408333333334,85.55333333333334,92.80408333333332,89.73691666666667,88.56433333333332,86.11925000000001,76.17383333333333,82.76125,83.16325,86.14133333333332,82.93016666666666,91.40899999999999,88.927,83.54491666666667,95.99374999999999,82.82233333333333,109.22625,89.17899999999999,87.59541666666667,97.41941666666666,82.52308333333333,86.68791666666665,62.98525,71.09125,80.09716666666667,82.44625,56.50333333333333,84.13525,95.29858333333334,170.23825,165.81325,391.9555833333333,113.91483333333333,98.7025,107.67583333333333,92.47975000000001,80.69658333333332,78.18508333333334,78.67025,77.96183333333333,79.81525,88.91433333333333,73.03008333333334,80.62483333333334,55.08525,82.25241666666666,81.69483333333334,81.17875,86.79950000000001,90.23441666666668,92.37525,87.33325,94.10716666666667,81.64016666666667,75.86991666666667,96.56283333333333,66.663,103.6315,53.962583333333335,111.50308333333334,111.50316666666667,86.2435
2009,87.93341666666667,88.01341666666667,88.70908333333334,89.65308333333333,89.51266666666668,81.19841666666666,99.31091666666667,84.00783333333334,80.76916666666666,93.66091666666667,80.17366666666666,92.16699999999999,82.88033333333333,85.62758333333333,82.324,72.49841666666667,87.97991666666667,83.0465,87.61616666666667,95.32366666666667,63.01733333333333,96.211,94.84041666666667,95.04924999999999,96.19041666666668,86.52550000000001,105.52591666666666,89.95675,86.32341666666667,93.39741666666667,89.37583333333333,84.55358333333334,96.90249999999999,84.1315,85.12175,82.74625,81.33433333333333,80.11408333333334,80.27083333333333,94.13716666666666,88.09008333333334,94.46249999999999,88.60458333333332,90.25150000000001,91.36308333333334,87.73258333333332,92.95008333333334,94.75833333333333,93.95091666666667,88.18783333333333,77.82,86.88799999999999,89.19983333333333,87.95783333333334,85.18058333333333,92.51641666666667,90.63058333333333,84.36033333333333,97.19425,92.399,108.18483333333334,86.75450000000001,90.65724999999999,89.78625,85.06725,88.51883333333335,67.58058333333334,75.05208333333333,83.13641666666666,83.31625,61.622749999999996,84.62025,96.60133333333333,152.326,154.47483333333332,308.24858333333333,100.354,100.48908333333333,108.53883333333333,93.72791666666666,84.89375,81.215,81.348,81.16775,82.259,88.11291666666666,76.29116666666667,84.70441666666666,59.290083333333335,84.21741666666667,84.02341666666666,83.60158333333334,88.16041666666666,92.14533333333333,94.50041666666665,88.63091666666666,96.61649999999999,84.68849999999999,79.95716666666667,97.117,71.41291666666667,106.63875,59.532000000000004,111.18066666666668,111.18066666666668,86.39566666666667
2010,90.12358333333333,91.01275,91.41908333333333,91.55683333333333,90.34483333333333,86.524,99.53683333333333,89.64308333333334,87.1345,96.39741666666667,84.66633333333333,92.79225000000001,87.96708333333333,90.82241666666665,87.42616666666667,76.54216666666666,90.80908333333333,87.10508333333333,90.60658333333333,95.92333333333333,67.84608333333334,95.24066666666666,93.81883333333333,93.79691666666668,96.81633333333333,88.35283333333332,104.78858333333334,89.63016666666665,87.50841666666668,92.4415,93.78816666666667,91.29833333333333,98.05324999999999,84.99199999999999,87.37425,82.5245,78.6805,78.11,75.82633333333332,122.32800000000002,88.09616666666666,96.32424999999999,91.31666666666666,92.93758333333334,93.78966666666668,90.79041666666666,94.05833333333334,98.57591666666667,97.87666666666667,91.75466666666667,80.41633333333333,89.25791666666667,92.14116666666666,89.66000000000001,87.70816666666667,93.12358333333333,90.84075,91.41083333333334,101.42366666666668,94.70875000000001,114.7325,95.76691666666666,94.29525000000001,104.81450000000001,88.52458333333334,91.05525,73.50691666666667,81.22908333333334,85.6705,87.3985,65.25225,88.71249999999999,98.38141666666667,143.81758333333332,142.93825,261.2725,98.90308333333333,101.53224999999999,107.79325,98.95591666666667,88.32133333333333,84.33391666666667,83.89825,84.56525,85.29608333333333,91.53841666666666,78.19475,89.35683333333333,62.444500000000005,86.64416666666666,86.65266666666666,86.26766666666667,90.45341666666667,94.33383333333332,96.8985,90.996,99.01350000000001,87.84775,85.16275,95.44191666666667,84.1645,111.63291666666667,77.83341666666666,107.22433333333333,107.22433333333333,89.69558333333333
